date,precipitation,precipitation_normal
19770307,0.41,1.98
19770308,0.41,2.01
19770309,0.41,2.04
19770310,0.41,2.07
19770311,0.41,2.10
19770312,0.41,2.13
19770313,0.41,2.17
19770314,0.41,2.20
19770315,0.41,2.22
19770316,0.41,2.25
19770317,0.41,2.28
19770318,0.41,2.31
19770319,0.41,2.33
19770320,0.41,2.36
19770321,0.41,2.38
19770322,0.41,2.41
19770323,0.41,2.43
19770324,0.41,2.45
19770325,0.58,2.47
19770326,0.62,2.49
19770327,0.63,2.50
19770328,0.63,2.52
19770329,0.68,2.54
19770330,0.68,2.55
19770331,0.68,2.57
19770401,0.68,2.58
19770402,0.74,2.60
19770403,0.74,2.61
19770404,0.74,2.63
19770405,0.74,2.64
19770406,0.74,2.65
19770407,0.74,2.67
19770408,0.74,2.68
19770409,0.74,2.69
19770410,0.74,2.70
19770411,0.74,2.71
19770412,0.74,2.72
19770413,0.74,2.73
19770414,0.74,2.73
19770415,0.74,2.74
19770416,0.74,2.75
19770417,0.74,2.75
19770418,0.74,2.76
19770419,0.74,2.76
19770420,0.74,2.76
19770421,0.74,2.77
19770422,0.74,2.77
19770423,0.74,2.77
19770424,0.74,2.78
19770425,0.74,2.78
19770426,0.74,2.78
19770427,0.74,2.78
19770428,0.74,2.79
19770429,0.74,2.79
19770430,0.74,2.79
19770501,0.74,2.79
19770502,0.74,2.80
19770503,0.74,2.80
19770504,0.74,2.80
19770505,0.74,2.81
19770506,0.74,2.81
19770507,0.74,2.81
19770508,0.74,2.82
19770509,0.74,2.82
19770510,0.74,2.83
19770511,0.74,2.83
19770512,0.74,2.84
19770513,0.80,2.84
19770514,0.80,2.85
19770515,0.80,2.85
19770516,0.80,2.86
19770517,0.80,2.86
19770518,0.80,2.87
19770519,0.80,2.87
19770520,0.80,2.88
19770521,0.80,2.88
19770522,0.80,2.88
19770523,0.80,2.89
19770524,0.90,2.89
19770525,0.90,2.90
19770526,0.90,2.90
19770527,0.90,2.91
19770528,0.90,2.91
19770529,0.90,2.91
19770530,0.90,2.92
19770531,0.90,2.92
19770601,0.90,2.92
19770602,0.90,2.92
19770603,0.90,2.92
19770604,0.90,2.92
19770605,0.90,2.92
19770606,0.90,2.92
19770607,0.90,2.92
19770608,1.00,2.92
19770609,1.00,2.92
19770610,1.00,2.92
19770611,1.00,2.92
19770612,1.00,2.92
19770613,1.00,2.92
19770614,1.00,2.92
19770615,1.00,2.92
19770616,1.00,2.93
19770617,1.00,2.93
19770618,1.00,2.93
19770619,1.00,2.93
19770620,1.00,2.93
19770621,1.00,2.93
19770622,1.00,2.93
19770623,1.00,2.93
19770624,1.00,2.93
19770625,1.00,2.93
19770626,1.00,2.93
19770627,1.00,2.93
19770628,1.00,2.93
19770629,1.00,2.94
19770630,1.00,2.94
19770701,1.00,2.95
19770702,1.00,2.97
19770703,1.02,2.98
19770704,1.05,3.00
19770705,1.05,3.02
19770706,1.05,3.04
19770707,1.05,3.05
19770708,1.05,3.08
19770709,1.05,3.10
19770710,1.05,3.12
19770711,1.29,3.15
19770712,1.29,3.18
19770713,1.29,3.21
19770714,1.29,3.23
19770715,1.29,3.27
19770716,1.29,3.30
19770717,1.29,3.33
19770718,1.29,3.37
19770719,1.30,3.40
19770720,1.30,3.44
19770721,1.30,3.48
19770722,1.30,3.52
19770723,1.30,3.56
19770724,1.30,3.59
19770725,1.30,3.63
19770726,1.30,3.67
19770727,1.30,3.71
19770728,1.30,3.74
19770729,1.30,3.78
19770730,1.30,3.81
19770731,1.30,3.85
19770801,1.30,3.88
19770802,1.30,3.91
19770803,1.30,3.94
19770804,1.30,3.97
19770805,1.30,4.00
19770806,1.30,4.04
19770807,1.30,4.07
19770808,1.30,4.10
19770809,1.30,4.13
19770810,1.30,4.16
19770811,1.30,4.19
19770812,1.46,4.22
19770813,1.46,4.25
19770814,1.46,4.28
19770815,1.48,4.31
19770816,1.48,4.34
19770817,1.48,4.37
19770818,1.48,4.40
19770819,1.48,4.43
19770820,1.48,4.46
19770821,1.48,4.49
19770822,1.48,4.51
19770823,1.48,4.54
19770824,1.48,4.57
19770825,1.48,4.60
19770826,1.48,4.63
19770827,1.48,4.66
19770828,1.48,4.69
19770829,1.48,4.72
19770830,1.48,4.75
19770831,1.48,4.78
19770901,1.48,4.81
19770902,1.48,4.83
19770903,1.48,4.86
19770904,1.48,4.88
19770905,1.48,4.91
19770906,1.48,4.93
19770907,1.48,4.95
19770908,1.48,4.97
19770909,1.48,4.99
19770910,1.48,5.01
19770911,1.51,5.03
19770912,1.51,5.05
19770913,1.51,5.07
19770914,1.51,5.08
19770915,1.51,5.10
19770916,1.51,5.12
19770917,1.51,5.14
19770918,1.51,5.16
19770919,1.51,5.18
19770920,1.51,5.20
19770921,1.51,5.21
19770922,1.51,5.23
19770923,1.51,5.25
19770924,1.51,5.26
19770925,1.51,5.27
19770926,1.51,5.29
19770927,2.01,5.30
19770928,2.01,5.32
19770929,2.01,5.33
19770930,2.01,5.35
19771001,2.01,5.37
19771002,2.01,5.39
19771003,2.01,5.41
19771004,2.01,5.43
19771005,2.03,5.44
19771006,2.37,5.46
19771007,2.37,5.48
19771008,2.37,5.50
19771009,2.37,5.52
19771010,2.37,5.53
19771011,2.37,5.55
19771012,2.37,5.57
19771013,2.37,5.59
19771014,2.37,5.61
19771015,2.37,5.63
19771016,2.37,5.65
19771017,2.37,5.67
19771018,2.37,5.68
19771019,2.37,5.70
19771020,2.37,5.72
19771021,2.37,5.74
19771022,2.37,5.75
19771023,2.37,5.77
19771024,2.37,5.79
19771025,2.37,5.81
19771026,2.37,5.82
19771027,2.37,5.84
19771028,2.37,5.86
19771029,2.62,5.87
19771030,2.62,5.89
19771031,2.62,5.91
19771101,2.62,5.93
19771102,2.62,5.95
19771103,2.62,5.96
19771104,2.62,5.98
19771105,2.62,6.00
19771106,2.62,6.01
19771107,2.62,6.03
19771108,2.62,6.05
19771109,2.62,6.07
19771110,2.62,6.09
19771111,2.62,6.10
19771112,2.62,6.12
19771113,2.62,6.14
19771114,2.62,6.15
19771115,2.62,6.17
19771116,2.62,6.19
19771117,2.62,6.20
19771118,2.62,6.22
19771119,2.62,6.24
19771120,2.62,6.26
19771121,2.62,6.28
19771122,2.62,6.30
