date,min,max,normal_min,normal_max
20070105,37.0,49.0,38.3,56.5
20070106,33.0,49.0,38.4,56.7
20070107,39.0,57.0,38.5,56.8
20070108,37.0,63.0,38.6,56.9
20070109,40.0,65.0,38.7,57.1
20070110,36.0,56.0,38.9,57.2
20070111,39.0,63.0,39.0,57.4
20070112,29.0,46.0,39.1,57.5
20070113,24.0,36.0,39.2,57.7
20070114,21.0,39.0,39.3,57.8
20070115,27.0,46.0,39.4,58.0
20070116,22.0,48.0,39.5,58.1
20070117,27.0,49.0,39.6,58.2
20070118,33.0,57.0,39.6,58.3
20070119,34.0,57.0,39.7,58.5
20070120,29.0,52.0,39.8,58.6
20070121,37.0,50.0,39.9,58.7
20070122,40.0,56.0,40.0,58.8
20070123,34.0,58.0,40.1,58.9
20070124,34.0,64.0,40.2,59.1
20070125,43.0,64.0,40.2,59.2
20070126,36.0,61.0,40.3,59.3
20070127,35.0,60.0,40.4,59.4
20070128,37.0,61.0,40.5,59.5
20070129,40.0,61.0,40.6,59.6
20070130,38.0,57.0,40.7,59.7
20070131,40.0,62.0,40.8,59.8
20070201,33.0,57.0,40.8,60.0
20070202,31.0,53.0,40.9,60.1
20070203,32.0,60.0,41.0,60.2
20070204,37.0,68.0,41.1,60.3
20070205,46.0,73.0,41.2,60.5
20070206,45.0,70.0,41.4,60.6
20070207,45.0,70.0,41.5,60.8
20070208,48.0,68.0,41.6,60.9
20070209,50.0,68.0,41.7,61.1
20070210,49.0,67.0,41.9,61.3
20070211,48.0,68.0,42.0,61.4
20070212,42.0,65.0,42.1,61.6
20070213,45.0,59.0,42.3,61.8
20070214,44.0,60.0,42.4,62.0
20070215,42.0,67.0,42.6,62.2
20070216,48.0,74.0,42.8,62.5
20070217,51.0,72.0,42.9,62.7
20070218,46.0,70.0,43.1,62.9
20070219,43.0,61.0,43.3,63.2
20070220,36.0,57.0,43.5,63.4
20070221,40.0,63.0,43.7,63.7
20070222,42.0,70.0,43.9,64.0
20070223,43.0,56.0,44.1,64.3
20070224,38.0,55.0,44.3,64.5
20070225,37.0,67.0,44.5,64.8
20070226,41.0,66.0,44.7,65.1
20070227,45.0,59.0,44.9,65.4
20070228,38.0,52.0,45.2,65.8
20070301,38.0,57.0,45.4,66.1
20070302,40.0,59.0,45.6,66.4
20070303,40.0,59.0,45.8,66.7
20070304,38.0,64.0,46.0,67.0
20070305,44.0,72.0,46.3,67.3
20070306,47.0,75.0,46.5,67.6
20070307,51.0,70.0,46.7,68.0
20070308,46.0,75.0,46.9,68.3
20070309,48.0,76.0,47.1,68.6
20070310,57.0,79.0,47.3,68.9
20070311,52.0,80.0,47.6,69.2
20070312,53.0,83.0,47.8,69.5
20070313,58.0,89.0,48.0,69.8
20070314,57.0,87.0,48.2,70.1
20070315,60.0,86.0,48.4,70.4
20070316,59.0,87.0,48.6,70.7
20070317,57.0,90.0,48.8,71.0
20070318,55.0,86.0,49.0,71.2
